subject,title,url,difficulty,type,description
Geography,Geography Topic 1,https://example.com/geography_topic_1,medium,article,"This is an educational resource on Geography, covering topic 1."
Science,Science Topic 2,https://example.com/science_topic_2,easy,video,"This is an educational resource on Science, covering topic 2."
Biology,Biology Topic 3,https://example.com/biology_topic_3,easy,video,"This is an educational resource on Biology, covering topic 3."
Computer Science,Computer Science Topic 4,https://example.com/computer_science_topic_4,medium,article,"This is an educational resource on Computer Science, covering topic 4."
Chemistry,Chemistry Topic 5,https://example.com/chemistry_topic_5,medium,article,"This is an educational resource on Chemistry, covering topic 5."
Biology,Biology Topic 6,https://example.com/biology_topic_6,easy,article,"This is an educational resource on Biology, covering topic 6."
Science,Science Topic 7,https://example.com/science_topic_7,easy,video,"This is an educational resource on Science, covering topic 7."
History,History Topic 8,https://example.com/history_topic_8,easy,video,"This is an educational resource on History, covering topic 8."
English,English Topic 9,https://example.com/english_topic_9,medium,video,"This is an educational resource on English, covering topic 9."
Chemistry,Chemistry Topic 10,https://example.com/chemistry_topic_10,medium,video,"This is an educational resource on Chemistry, covering topic 10."
Math,Math Topic 11,https://example.com/math_topic_11,hard,article,"This is an educational resource on Math, covering topic 11."
Computer Science,Computer Science Topic 12,https://example.com/computer_science_topic_12,easy,video,"This is an educational resource on Computer Science, covering topic 12."
Science,Science Topic 13,https://example.com/science_topic_13,hard,quiz,"This is an educational resource on Science, covering topic 13."
Computer Science,Computer Science Topic 14,https://example.com/computer_science_topic_14,medium,video,"This is an educational resource on Computer Science, covering topic 14."
Biology,Biology Topic 15,https://example.com/biology_topic_15,hard,quiz,"This is an educational resource on Biology, covering topic 15."
Science,Science Topic 16,https://example.com/science_topic_16,medium,video,"This is an educational resource on Science, covering topic 16."
English,English Topic 17,https://example.com/english_topic_17,medium,article,"This is an educational resource on English, covering topic 17."
Biology,Biology Topic 18,https://example.com/biology_topic_18,easy,video,"This is an educational resource on Biology, covering topic 18."
Biology,Biology Topic 19,https://example.com/biology_topic_19,easy,article,"This is an educational resource on Biology, covering topic 19."
English,English Topic 20,https://example.com/english_topic_20,easy,article,"This is an educational resource on English, covering topic 20."
Science,Science Topic 21,https://example.com/science_topic_21,hard,quiz,"This is an educational resource on Science, covering topic 21."
Computer Science,Computer Science Topic 22,https://example.com/computer_science_topic_22,medium,video,"This is an educational resource on Computer Science, covering topic 22."
History,History Topic 23,https://example.com/history_topic_23,hard,video,"This is an educational resource on History, covering topic 23."
Geography,Geography Topic 24,https://example.com/geography_topic_24,medium,quiz,"This is an educational resource on Geography, covering topic 24."
Biology,Biology Topic 25,https://example.com/biology_topic_25,hard,video,"This is an educational resource on Biology, covering topic 25."
Chemistry,Chemistry Topic 26,https://example.com/chemistry_topic_26,medium,article,"This is an educational resource on Chemistry, covering topic 26."
History,History Topic 27,https://example.com/history_topic_27,easy,video,"This is an educational resource on History, covering topic 27."
Chemistry,Chemistry Topic 28,https://example.com/chemistry_topic_28,hard,video,"This is an educational resource on Chemistry, covering topic 28."
Math,Math Topic 29,https://example.com/math_topic_29,hard,article,"This is an educational resource on Math, covering topic 29."
Geography,Geography Topic 30,https://example.com/geography_topic_30,medium,video,"This is an educational resource on Geography, covering topic 30."
Biology,Biology Topic 31,https://example.com/biology_topic_31,easy,article,"This is an educational resource on Biology, covering topic 31."
English,English Topic 32,https://example.com/english_topic_32,hard,video,"This is an educational resource on English, covering topic 32."
Chemistry,Chemistry Topic 33,https://example.com/chemistry_topic_33,easy,article,"This is an educational resource on Chemistry, covering topic 33."
Science,Science Topic 34,https://example.com/science_topic_34,medium,video,"This is an educational resource on Science, covering topic 34."
Math,Math Topic 35,https://example.com/math_topic_35,hard,quiz,"This is an educational resource on Math, covering topic 35."
Biology,Biology Topic 36,https://example.com/biology_topic_36,medium,article,"This is an educational resource on Biology, covering topic 36."
Biology,Biology Topic 37,https://example.com/biology_topic_37,hard,video,"This is an educational resource on Biology, covering topic 37."
Science,Science Topic 38,https://example.com/science_topic_38,hard,quiz,"This is an educational resource on Science, covering topic 38."
Biology,Biology Topic 39,https://example.com/biology_topic_39,hard,quiz,"This is an educational resource on Biology, covering topic 39."
Computer Science,Computer Science Topic 40,https://example.com/computer_science_topic_40,medium,video,"This is an educational resource on Computer Science, covering topic 40."
Math,Math Topic 41,https://example.com/math_topic_41,medium,article,"This is an educational resource on Math, covering topic 41."
Chemistry,Chemistry Topic 42,https://example.com/chemistry_topic_42,hard,article,"This is an educational resource on Chemistry, covering topic 42."
Geography,Geography Topic 43,https://example.com/geography_topic_43,hard,video,"This is an educational resource on Geography, covering topic 43."
